timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB]
2025-12-11 00:38:26.8,29,0,0,1519
2025-12-11 00:38:27.4,29,0,0,1569
2025-12-11 00:38:27.9,29,0,0,1569
2025-12-11 00:38:28.5,30,37,4,1637
2025-12-11 00:38:29.0,31,26,10,1639
2025-12-11 00:38:29.6,31,27,10,1641
2025-12-11 00:38:30.1,31,28,11,1641
2025-12-11 00:38:30.7,31,27,10,1641
2025-12-11 00:38:31.2,32,27,11,1641
2025-12-11 00:38:31.7,32,27,11,1641
2025-12-11 00:38:32.3,32,28,12,1661
2025-12-11 00:38:32.8,32,28,11,1661
2025-12-11 00:38:33.3,32,28,12,1661
2025-12-11 00:38:33.9,32,28,11,1661
2025-12-11 00:38:34.4,33,45,18,1681
2025-12-11 00:38:35.0,33,45,18,1681
2025-12-11 00:38:35.5,33,46,19,1701
2025-12-11 00:38:36.1,33,45,18,1713
2025-12-11 00:38:36.6,34,46,18,1713
2025-12-11 00:38:37.2,34,47,19,1725
2025-12-11 00:38:37.8,34,47,19,1737
2025-12-11 00:38:38.3,34,48,20,1737
2025-12-11 00:38:38.8,34,47,19,1751
2025-12-11 00:38:39.3,34,48,20,1767
2025-12-11 00:38:39.9,34,48,20,1767
2025-12-11 00:38:40.4,34,67,16,1767
2025-12-11 00:38:41.0,34,43,17,1767
2025-12-11 00:38:41.5,34,43,17,1767
2025-12-11 00:38:42.0,34,43,17,1767
2025-12-11 00:38:42.6,34,44,17,1787
2025-12-11 00:38:43.1,34,44,18,1787
2025-12-11 00:38:43.7,35,45,18,1787
2025-12-11 00:38:44.2,35,46,18,1807
2025-12-11 00:38:44.8,35,45,18,1827
2025-12-11 00:38:45.3,35,46,19,1827
2025-12-11 00:38:45.8,35,43,17,1827
2025-12-11 00:38:46.4,35,44,17,1827
2025-12-11 00:38:46.9,35,43,17,1827
2025-12-11 00:38:47.4,35,44,17,1827
2025-12-11 00:38:48.0,35,44,17,1827
2025-12-11 00:38:48.5,35,45,18,1827
2025-12-11 00:38:49.1,35,46,18,1827
2025-12-11 00:38:49.6,35,46,19,1827
2025-12-11 00:38:50.2,35,46,18,1827
2025-12-11 00:38:50.8,36,46,19,1827
2025-12-11 00:38:51.3,36,46,18,1827
2025-12-11 00:38:51.8,36,47,19,1827
2025-12-11 00:38:52.4,36,46,19,1827
2025-12-11 00:38:52.9,36,47,19,1827
2025-12-11 00:38:53.5,36,42,17,1827
2025-12-11 00:38:54.0,36,43,17,1827
2025-12-11 00:38:54.6,36,43,17,1827
2025-12-11 00:38:55.1,36,44,17,1827
2025-12-11 00:38:55.6,36,45,18,1827
2025-12-11 00:38:56.2,36,44,17,1827
2025-12-11 00:38:56.7,36,46,18,1827
2025-12-11 00:38:57.2,36,46,19,1827
2025-12-11 00:38:57.8,36,46,18,1827
2025-12-11 00:38:58.3,36,46,19,1839
2025-12-11 00:38:58.8,36,47,19,1839
2025-12-11 00:38:59.4,36,46,19,1851
2025-12-11 00:38:59.9,36,29,12,1879
2025-12-11 00:39:00.5,36,31,13,1879
2025-12-11 00:39:01.0,37,48,20,1879
2025-12-11 00:39:01.5,37,48,19,1879
2025-12-11 00:39:02.1,37,48,20,1911
2025-12-11 00:39:02.6,37,49,21,1911
2025-12-11 00:39:03.1,37,49,22,1929
2025-12-11 00:39:03.7,37,49,22,1929
2025-12-11 00:39:04.2,37,50,24,1947
2025-12-11 00:39:04.8,37,50,24,1947
2025-12-11 00:39:05.3,37,50,25,1967
2025-12-11 00:39:05.8,38,50,26,1967
2025-12-11 00:39:06.4,38,51,26,2011
2025-12-11 00:39:07.0,38,51,27,2011
2025-12-11 00:39:07.5,38,52,28,2011
2025-12-11 00:39:08.0,38,53,29,2059
2025-12-11 00:39:08.6,38,53,30,2059
2025-12-11 00:39:09.1,38,54,31,2111
2025-12-11 00:39:09.7,38,55,32,2111
