timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB]
2025-12-11 00:28:03.6,27,25,1,2861
2025-12-11 00:28:04.2,29,54,39,2999
2025-12-11 00:28:04.7,29,55,40,3019
2025-12-11 00:28:05.2,30,54,39,3057
2025-12-11 00:28:05.8,30,54,40,3057
2025-12-11 00:28:06.3,30,53,38,3077
2025-12-11 00:28:06.8,30,53,39,3077
2025-12-11 00:28:07.4,30,55,40,3077
2025-12-11 00:28:07.9,31,55,40,3097
2025-12-11 00:28:08.4,31,55,41,3097
2025-12-11 00:28:08.9,31,56,41,3097
2025-12-11 00:28:09.5,31,56,41,3117
2025-12-11 00:28:10.0,31,56,41,3137
2025-12-11 00:28:10.6,32,84,62,3137
2025-12-11 00:28:11.1,32,84,62,3157
2025-12-11 00:28:11.6,33,85,64,3157
2025-12-11 00:28:12.2,33,85,64,3197
2025-12-11 00:28:12.7,33,86,64,3197
2025-12-11 00:28:13.3,33,87,64,3197
2025-12-11 00:28:13.8,33,87,65,3197
2025-12-11 00:28:14.3,33,87,65,3197
2025-12-11 00:28:14.8,34,88,66,3257
2025-12-11 00:28:15.4,34,89,67,3277
2025-12-11 00:28:15.9,34,89,68,3277
2025-12-11 00:28:16.5,34,88,66,3277
2025-12-11 00:28:17.0,34,90,67,3277
2025-12-11 00:28:17.6,35,90,69,3277
2025-12-11 00:28:18.2,35,90,68,3317
2025-12-11 00:28:18.7,35,90,68,3357
2025-12-11 00:28:19.3,35,90,68,3357
2025-12-11 00:28:19.8,35,90,69,3377
2025-12-11 00:28:20.3,35,91,69,3377
2025-12-11 00:28:20.9,36,91,70,3377
2025-12-11 00:28:21.4,36,91,70,3377
2025-12-11 00:28:22.0,35,84,59,3377
2025-12-11 00:28:22.5,35,81,59,3377
2025-12-11 00:28:23.1,35,83,61,3377
2025-12-11 00:28:23.6,35,83,61,3377
2025-12-11 00:28:24.1,36,83,61,3377
2025-12-11 00:28:24.7,36,83,61,3377
2025-12-11 00:28:25.2,36,84,62,3397
2025-12-11 00:28:25.8,36,85,63,3417
2025-12-11 00:28:26.3,36,85,63,3437
2025-12-11 00:28:26.9,36,85,63,3437
2025-12-11 00:28:27.4,36,85,64,3457
2025-12-11 00:28:27.9,36,86,65,3457
2025-12-11 00:28:28.5,37,87,64,3457
2025-12-11 00:28:29.0,37,87,65,3497
2025-12-11 00:28:29.6,37,87,65,3497
2025-12-11 00:28:30.1,37,88,66,3517
2025-12-11 00:28:30.7,37,89,67,3517
2025-12-11 00:28:31.2,37,89,66,3537
